"Osnovni podatki o umrlih po spolu, statistiène regije, Slovenija, letno"

"SPOL","STATISTIÈNA REGIJA","2015 Umrli na 1000 prebivalcev","2015 Umrli dojenèki na 1000 živorojenih","2015 Povpreèna starost umrlega","2016 Umrli na 1000 prebivalcev","2016 Umrli dojenèki na 1000 živorojenih","2016 Povpreèna starost umrlega","2017 Umrli na 1000 prebivalcev","2017 Umrli dojenèki na 1000 živorojenih","2017 Povpreèna starost umrlega","2018 Umrli na 1000 prebivalcev","2018 Umrli dojenèki na 1000 živorojenih","2018 Povpreèna starost umrlega","2019 Umrli na 1000 prebivalcev","2019 Umrli dojenèki na 1000 živorojenih","2019 Povpreèna starost umrlega","2020 Umrli na 1000 prebivalcev","2020 Umrli dojenèki na 1000 živorojenih","2020 Povpreèna starost umrlega"
"Moški","SLOVENIJA",9.5,1.7,72.8,9.4,1.9,73.0,9.9,2.0,74.0,9.8,2.2,74.1,9.7,2.5,73.9,11.1,2.5,75.3
"Moški","Pomurska",11.2,0.0,72.0,11.6,4.1,71.7,11.7,0.0,73.3,12.2,0.0,72.7,12.1,0.0,72.6,14.5,0.0,73.9
"Moški","Podravska",10.4,3.3,71.9,10.4,2.0,72.1,11.1,1.3,73.7,11.2,2.7,73.3,10.7,3.4,73.4,12.4,1.5,74.5
"Moški","Koroška",10.1,0.0,71.0,10.9,3.0,70.5,9.7,0.0,74.6,9.2,0.0,74.4,11.4,2.9,73.0,12.3,6.6,75.2
"Moški","Savinjska",10.1,1.5,72.3,9.7,0.0,72.6,10.4,2.4,73.0,10.0,2.5,74.0,9.9,3.3,73.4,11.6,1.6,75.0
"Moški","Zasavska",10.5,3.4,71.2,10.6,0.0,72.6,10.7,7.0,73.5,10.5,7.8,72.8,11.4,4.3,74.0,12.0,0.0,73.6
"Moški","Posavska",10.2,2.5,73.4,11.8,2.6,72.8,10.7,0.0,73.4,10.9,5.3,73.7,10.9,0.0,72.1,11.5,5.8,73.7
"Moški","Jugovzhodna Slovenija",9.6,0.0,72.0,9.2,0.0,72.8,10.1,3.9,73.0,10.3,0.0,73.5,9.6,2.5,73.8,11.3,3.8,75.0
"Moški","Osrednjeslovenska",8.0,2.0,73.2,7.6,3.2,74.1,8.2,1.7,74.4,8.2,1.8,75.1,8.0,1.4,74.8,9.5,1.4,76.5
"Moški","Gorenjska",8.6,0.9,74.0,8.7,1.0,74.3,9.5,2.7,74.8,9.1,2.8,74.6,8.9,1.9,74.9,10.7,3.0,76.4
"Moški","Primorsko-notranjska",10.9,3.5,74.8,10.2,3.8,73.1,9.9,0.0,76.3,10.1,0.0,75.4,10.3,7.7,74.3,11.1,7.7,75.2
"Moški","Goriška",9.8,0.0,73.9,10.2,1.7,74.2,10.9,1.8,74.6,10.6,1.8,74.9,10.2,7.7,75.1,10.7,3.6,76.1
"Moški","Obalno-kraška",10.3,2.0,74.0,10.0,1.9,73.7,9.3,3.9,75.1,9.8,4.0,74.5,9.6,0.0,74.2,10.1,4.2,75.2
"Ženske","SLOVENIJA",9.7,1.5,81.0,9.6,2.1,81.4,10.0,2.2,81.4,10.0,1.2,81.6,10.0,1.6,82.1,11.7,1.9,82.9
"Ženske","Pomurska",12.0,2.0,81.8,11.9,0.0,81.7,12.1,2.0,81.5,12.3,0.0,81.7,13.5,0.0,81.8,15.3,2.5,82.6
"Ženske","Podravska",11.2,2.1,80.1,10.8,2.8,80.8,10.9,2.2,80.5,11.2,1.5,81.1,10.5,3.6,80.8,13.2,2.4,82.1
"Ženske","Koroška",9.6,0.0,79.6,9.6,2.8,80.5,9.7,0.0,81.0,10.8,3.1,80.4,10.2,0.0,82.0,12.3,0.0,82.0
"Ženske","Savinjska",9.7,1.6,80.3,9.8,1.6,81.1,10.3,1.7,81.0,9.8,0.0,81.3,9.8,0.0,82.2,12.2,0.9,82.4
"Ženske","Zasavska",10.6,7.9,80.7,10.9,0.0,80.3,11.5,0.0,81.8,11.1,4.1,80.7,10.2,0.0,83.7,12.7,4.8,82.2
"Ženske","Posavska",11.8,0.0,81.1,10.9,0.0,81.8,10.8,2.7,81.5,11.4,0.0,81.6,10.8,0.0,82.7,13.3,0.0,83.2
"Ženske","Jugovzhodna Slovenija",10.4,0.0,81.5,10.3,2.7,81.8,10.4,2.5,80.9,10.8,0.0,82.1,10.7,0.0,82.9,12.0,1.4,83.4
"Ženske","Osrednjeslovenska",7.9,1.8,80.8,7.8,1.8,81.6,8.4,4.0,81.5,8.2,1.1,81.7,8.6,2.3,82.0,9.7,1.2,83.5
"Ženske","Gorenjska",8.8,1.0,81.4,8.6,0.0,81.6,9.4,0.0,80.9,9.3,3.2,81.3,9.7,0.0,82.3,11.4,5.1,82.7
"Ženske","Primorsko-notranjska",10.6,3.9,82.5,11.1,8.3,83.2,11.4,4.1,83.9,11.3,0.0,83.0,12.7,8.4,83.8,13.4,4.4,83.3
"Ženske","Goriška",11.6,0.0,82.7,11.7,5.8,82.6,11.3,0.0,83.2,10.6,2.0,82.5,11.6,0.0,83.2,12.2,0.0,84.3
"Ženske","Obalno-kraška",8.1,0.0,81.7,9.1,4.0,80.4,9.1,0.0,82.5,10.1,0.0,82.0,9.2,4.6,82.1,10.6,2.2,82.7
